排名,名字,导演,主演,年份,地区,评分,简介
1,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,1994,美国,9.6,希望让人自由。
2,霸王别姬,陈凯歌,张国荣,1993,中国大陆 香港,9.6,风华绝代。
3,这个杀手不太冷,吕克·贝松,让·雷诺,1994,法国,9.4,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,Robert,Tom,1994,美国,9.4,一部美国近现代史。
5,美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼,1997,意大利,9.5,最美的谎言。
6,泰坦尼克号,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥,1997,美国,9.3,失去的才是永恒的。 
7,千与千寻,宫崎骏,柊瑠美,2001,日本,9.3,最好的宫崎骏，最好的久石让。 
8,辛德勒的名单,史蒂文·斯皮尔伯格,连姆·尼森,1993,美国,9.5,拯救一个人，就是拯救整个世界。
9,盗梦空间,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥,2010,美国 英国,9.3,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,莱塞·霍尔斯道姆,理查·基尔,2009,美国 英国,9.3,永远都不能忘记你所爱的人。
11,机器人总动员,安德鲁·斯坦顿,本·贝尔特,2008,美国,9.3,小瓦力，大人生。
12,三傻大闹宝莱坞,拉库马·希拉尼,阿米尔·汗,2009,印度,9.2,英俊版憨豆，高情商版谢耳朵。
13,海上钢琴师,朱塞佩·托纳多雷,蒂姆·罗斯,1998,意大利,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
14,放牛班的春天,克里斯托夫·巴拉蒂,杰拉尔·朱诺,2004,法国 瑞士 德国,9.3,天籁一般的童声，是最接近上帝的存在。 
15,大话西游之大圣娶亲,刘镇伟,周星驰,1995,香港 中国大陆,9.2,一生所爱。
16,楚门的世界,彼得·威尔,金·凯瑞,1998,美国,9.2,如果再也不能见到你，祝你早安，午安，晚安。
17,龙猫,宫崎骏,日高法子,1988,日本,9.2,人人心中都有个龙猫，童年就永远不会消失。
18,星际穿越,克里斯托弗·诺兰,马修·麦康纳,2014,美国 英国 加拿大 冰岛,9.2,爱是一种力量，让我们超越时空感知它的存在。
19,教父,弗朗西斯·福特·科波拉,马龙·白兰度,1972,美国,9.2,千万不要记恨你的对手，这样会让你失去理智。
20,熔炉,黄东赫,孔侑,2011,韩国,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,无间道,刘伟强,刘德华,2002,香港,9.1,香港电影史上永不过时的杰作。
22,当幸福来敲门,加布里尔·穆奇诺,威尔·史密斯,2006,美国,9.0,平民励志片。 
23,疯狂动物城,拜伦·霍华德,金妮弗·...,2016,美国,9.2,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
24,怦然心动,罗伯·莱纳,玛德琳·卡罗尔,2010,美国,9.0,真正的幸福是来自内心深处。
25,触不可及,奥利维·那卡什,匿名,2011,法国,9.2,满满温情的高雅喜剧。
1,肖申克的救赎,弗兰克·德拉邦特,蒂姆·罗宾斯,1994,美国,9.6,希望让人自由。
2,霸王别姬,陈凯歌,张国荣,1993,中国大陆 香港,9.6,风华绝代。
3,这个杀手不太冷,吕克·贝松,让·雷诺,1994,法国,9.4,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,Robert,Tom,1994,美国,9.4,一部美国近现代史。
5,美丽人生,罗伯托·贝尼尼,罗伯托·贝尼尼,1997,意大利,9.5,最美的谎言。
